EarthMarsRelay2.Mars.RadPer   EarthMarsRelay2.Earth.RadPer   
72666573.10763508             295710937.3757446              
75191000.3664958              293629639.1925005              
77883600.49567993             291624583.7653848              
80751271.94647762             289699733.4675217              
83800586.80683151             287860505.7547165              
87037667.2193817              286112587.1434122              
90468045.06833042             284461393.0405055              
94096505.09732212             282911879.463623               
97926912.52342092             281468633.9498171              
101962027.3698997             280135662.2188688              
106203309.1294606             278915399.7205126              
110650716.9486077             277808688.2762218              
115302512.2406364             276816723.3438038              
120155072.4188901             275941569.2945535              
125202726.1757088             275185416.2316865              
130437622.1965449             274550267.6903436              
135849644.0565889             274037872.9462406              
141426383.9166885             273649683.6425086              
147153186.2059789             273386828.0402274              
153013269.6131796             273249969.3471797              
158987931.468639              273238967.5664345              
165056833.2195874             273352673.6392518              
171198359.6026589             273589102.9609281              
177390037.9407646             273945802.4260472              
183608998.5178127             274420076.5626013              
189832452.9812794             275009038.7195132              
196038165.7868041             275709661.651201               
202204894.1457026             276518876.3146157              
208312774.7287845             277433729.6766906              
214343640.1322127             278451723.1074994              
220281254.1592838             279570743.5846046              
226111461.5113007             280787716.2081015              
231822253.710501              282098073.7845576              
237403758.3439794             283496711.377153               
242848162.5963058             284978502.8146172              
248149584.3625872             286538244.555587               
253303905.0680879             288170698.5106977              
258308577.8981046             289870976.8768379              
263162423.789912              291635179.0542591              
267865425.608243              293461010.3487515              
272418528.7343042             295346816.4818686              
276823454.1050436             297289260.6515639              
281082527.7232333             299283189.4665132              
285198528.9293742             301322852.2052943              
289174558.3297799             303402206.7944675              
293013925.2139955             305514630.8259271              
296720053.5394661             307653264.887033               
300296405.0687097             309812314.2587523              
303746417.9617614             311988148.8389707              
307073459.0081329             314178969.1567903              
310280787.6801912             316382530.0323601              
313371530.2701948             318594314.083031               
316348662.501901              320808162.3615327              
319214999.1641935             323017279.0526955              
321973189.4827432             325214100.4013095              
324625717.1166583             327389970.9893581              
327174903.8221574             329536597.6825894              
329622915.9528415             331648311.8421394              
331971773.0884403             333722002.915282               
334223358.2199486             335755092.0017208              
336379429.0276114             337743509.6453794              
338441629.8640103             339681228.1900389              
340411504.1186256             341561102.0677897              
342290506.7012166             343375343.9402024              
344080016.4333439             345115110.7873986              
345781348.1805108             346770958.1015429              
347395764.5926383             348335582.2870408              
348924487.3494855             349804852.2273281              
350368707.8316552             351175636.1978678              
351729597.1573299             352443920.9702602              
353008315.5415267             353604220.8009325              
354206020.9480189             354649869.9492486              
355323877.015379              355573563.0888689              
356363060.2481151             356367532.2379869              
357324766.4717919             357023851.7040824              
358210216.5575545             357536175.6988112              
359020661.4274154             357900947.6479441              
359757386.3561212             358115610.2924664              
360421714.5899616             358176841.2024959              
361015010.3062152             358080217.9115964              
361538680.9401221             357820433.690896               
361994178.9088516             357391632.263201               
362383002.762539              356787746.9035308              
362706697.7942157             356003474.7742943              
362966856.1412048             355036536.8132265              
363165116.4144361             353887828.5679094              
363303162.8930302             352557933.4414054              
363382724.3214369             351045753.188897               
363405572.3444712             349349127.0568367              
363373519.6149606             347465126.1861222              
363288417.6094521             345390255.288                  
363152154.1881115             343120847.5300461              
362966650.9345616             340654132.0720502              
362733860.3094969             337991601.2321717              
362455762.6510572             335141400.7819132              
362134363.0532611             332111996.9793213              
361771688.1528935             328907103.4167175              
361369782.8538726             325528074.5151854              
360930707.0163616             321975499.5491902              
360456532.1364735             318248920.2969336              
359949338.040544              314347068.4630515              
